,loc_str,Long,Lat
0,Manuelita Cocos Island COSTA RICA,5.5313198,-87.0961449
1,"Stillwater Cove, Monterey County California USA",36.5639138,-121.9445819
2,"Floridana Beach, Brevard County Florida USA",27.9448942,-80.505628
3,Avoca Beach New South Wales AUSTRALIA,-33.4705196,151.4107836
4,Guardalavaca Beach Holquin Province CUBA,21.1162344,-75.879118
5,Magnetic Island Queensland AUSTRALIA,-19.1421512,146.7963652
6,Birubi Point New South Wales AUSTRALIA,-32.7884083,152.0715595
7,"White Plains Beach, Oahu Hawaii USA",21.3030285,-158.0468662
8,Le Goulet Pamplemousses  MAURITIUS,-20.1044023,57.5155488
9,"Juno Beach, Palm Beach County Florida USA",26.875057,-80.0751825
10,"Ocean Reef Park, Singer Island, Palm Beach County Florida USA",26.7937693,-80.0350718
11,Normanville South Australia AUSTRALIA,-35.4649901,138.2690643
12,"Lantana Beach, Palm Beach County Florida USA",26.5827809,-80.0698786
13,"Davidsons Beach, Kekaha, Kauai Hawaii USA",21.9641661,-159.7176437
14,"Kama‘ole Beach Park, Maui  Hawaii USA",20.7128808,-156.4482654
15,Dyer Island Western Cape Province SOUTH AFRICA,-34.6827695,19.4134289
16,"Hanna Park, Jacksonville, Duval County Florida USA",30.3709252,-81.4089605
17,Gracetown Western Australia AUSTRALIA,-33.8690139,114.936154
18,Rockaway New York USA,40.5867238,-73.8202541
19,Fort Worth Florida USA,26.6202702,-80.0937282
20,Palm Beach County Florida USA,26.6455749,-80.7104686
21,Gran Canaria  Canary Islands SPAIN,27.957502,-15.8766352
22,"Ponce Inlet, Volusia County Florida USA",29.1029784,-80.9633912
23,Hawston Western Cape Province SOUTH AFRICA,-34.3862513,19.1225144
24,Nofoali’i  Upolu Island SAMOA,-34.3862513,19.1225144
25,Esperance Westerm Australia AUSTRALIA,-33.8612197,121.8829606
26,Sam's Creek area Westerm Australia AUSTRALIA,-20.6223242,117.1814911
27,Iluka Beach New South Wales AUSTRALIA,-29.4102989,153.3489344
28,Iwata City Shizuoka Prefecture JAPAN,34.7682772,137.7099813
29,"Marathon, Monroe County Florida USA",24.7328733,-81.0946389
30,"South Padre Island, Cameron County Texas USA",26.1127217,-97.2030206
31,"New Smyrna Beach, Volusia County Florida USA",29.0295263,-81.0249492
32,Cathedral Rock Victoria AUSTRALIA,29.0295263,-81.0249492
33,Bathtub Beach  Florida USA,27.1863376,-80.1625477
34,Grao de Moncofa Castellón SPAIN,39.7998241,-0.149381
35,Off Tutukaka North Island NEW ZEALAND,39.7998241,-0.149381
36,"Marconi Beach, Wellfleet, Barnstable County Massachusetts USA",39.7998241,-0.149381
37,"Sea Pines Resort, Hilton Head Island, Beaufort County South Carolina USA",39.7998241,-0.149381
38,Marsa Ghalib Red Sea Protectorate EGYPT,39.7998241,-0.149381
39,"Menauhant Beach, Falmouth,
Barnstable County Massachusetts USA",39.7998241,-0.149381
40,"Between Pescadero Point & Bean Hollow Beach, San Mateo County California USA",39.7998241,-0.149381
41,"Hilton Head Island, Beaufort County South Carolina USA",39.7998241,-0.149381
42,"DeBordieu Colony, Georgetown County South Carolina USA",39.7998241,-0.149381
43,Rose Island New Providence District BAHAMAS,25.1053061,-77.2357128
44,"English Bay Ascension Island ST HELENA, British overseas territory",-7.9412278,-14.4280779
45,Ventnor New Jersey USA,-7.9412278,-14.4280779
46,"Estanys Beach, Colonia de Sant Majorca SPAIN",-7.9412278,-14.4280779
47,"Snipes Point, Monroe County Florida USA",-7.9412278,-14.4280779
48,"Stearns Wharf, Santa Barbara California USA",-7.9412278,-14.4280779
49,"Seal Rock, Goleta Beach, Santa Barbara California USA",-7.9412278,-14.4280779
50,"South Beach, Westport, Grays Harbor County Washington USA",-7.9412278,-14.4280779
51,"Santa Cruz, Santa Cruz County California USA",-7.9412278,-14.4280779
52,"Haulover Beach, Miami-Dade County Florida USA",-7.9412278,-14.4280779
53,"Sánchez Magallanes, Cárdenas Tabasco MEXICO",39.3406926,-74.5000456
54,"Nahoon Reef, East London Eastern Cape Province SOUTH AFRICA",-32.9965532,27.9475273
55,Moya Anjouan COMOROS,-12.3090497,44.4315594
56,Wrightsville Beach South Carolina USA,34.206923,-77.8161988
57,Hilton Head South Carolina USA,32.1834116,-80.8874831
58,"Singer Island, Palm Beach County Florida USA",26.7850618,-80.0462956
59,Playa d’en Bossa Ibiza Island SPAIN,38.8857266,1.4026345
60,"Point Casuarina, Bunbury Western Australia AUSTRALIA",38.8857266,1.4026345
61,"Flinders, Mornington Penisula Victoria AUSTRALIA",38.8857266,1.4026345
62,Bantham Beach South Devon UNITED KINGDOM,38.8857266,1.4026345
63,"Middle Sambo Reef off Boca Chica, Monroe County Florida USA",38.8857266,1.4026345
64,Athol Island New Providence  BAHAMAS,38.8857266,1.4026345
65,"Awendaw, Charleston County South Carolina USA",38.8857266,1.4026345
66,Off Jupiter Florida USA,38.8857266,1.4026345
67,Evans Head New South Wales AUSTRALIA,38.8857266,1.4026345
68,"Khor Fakkan Sharjah,  UNITED ARAB EMIRATES",38.8857266,1.4026345
69,Weipa Queensland AUSTRALIA,38.8857266,1.4026345
70,"Los Arbolitos, Cabo Pulmo Baja California Sur MEXICO",38.8857266,1.4026345
71,"Sunset Beach, Orange County California USA",38.8857266,1.4026345
72,"San Onofre, San Diego County  California USA",38.8857266,1.4026345
73,"Keurbooms, Plettenberg Bay Western Cape Province SOUTH AFRICA",38.8857266,1.4026345
74,"Folly Beach, Charleston County South Carolina USA",38.8857266,1.4026345
75,Pointe au Sal Saint-Leu REUNION,38.8857266,1.4026345
